"SG_UF_NOT";"DS_UF_SIGLA";"Ano.epidemiológico";"Semana.epidemiológica";"virus";"Median";"LI";"LS";"casos.registrados";"casos.estimados";"media.movel"
0;"BR";2023;11;"SARS2";NA;NA;NA;720;720;720
0;"BR";2023;11;"VSR";NA;NA;NA;984;984;945
0;"BR";2023;11;"FLU_A";NA;NA;NA;93;93;103
0;"BR";2023;11;"FLU_B";NA;NA;NA;142;142;119
0;"BR";2023;11;"RINO";NA;NA;NA;181;181;178
0;"BR";2023;11;"METAP";NA;NA;NA;29;29;30
0;"BR";2023;12;"SARS2";NA;NA;NA;693;693;681
0;"BR";2023;12;"VSR";NA;NA;NA;1115;1115;1089
0;"BR";2023;12;"FLU_A";NA;NA;NA;167;167;150
0;"BR";2023;12;"FLU_B";NA;NA;NA;134;134;138
0;"BR";2023;12;"RINO";NA;NA;NA;166;166;161
0;"BR";2023;12;"METAP";NA;NA;NA;40;40;35
0;"BR";2023;13;"SARS2";NA;NA;NA;630;630;639
0;"BR";2023;13;"VSR";NA;NA;NA;1167;1167;1136
0;"BR";2023;13;"FLU_A";NA;NA;NA;190;190;183
0;"BR";2023;13;"FLU_B";NA;NA;NA;138;138;136
0;"BR";2023;13;"RINO";NA;NA;NA;136;136;142
0;"BR";2023;13;"METAP";NA;NA;NA;36;36;38
0;"BR";2023;14;"SARS2";NA;NA;NA;594;594;601
0;"BR";2023;14;"VSR";NA;NA;NA;1125;1125;1162
0;"BR";2023;14;"FLU_A";NA;NA;NA;192;192;219
0;"BR";2023;14;"FLU_B";NA;NA;NA;135;135;149
0;"BR";2023;14;"RINO";NA;NA;NA;125;125;130
0;"BR";2023;14;"METAP";NA;NA;NA;38;38;41
0;"BR";2023;15;"SARS2";NA;NA;NA;580;580;572
0;"BR";2023;15;"VSR";NA;NA;NA;1195;1195;1158
0;"BR";2023;15;"FLU_A";NA;NA;NA;276;276;248
0;"BR";2023;15;"FLU_B";NA;NA;NA;174;174;156
0;"BR";2023;15;"RINO";NA;NA;NA;130;130;131
0;"BR";2023;15;"METAP";NA;NA;NA;49;49;46
0;"BR";2023;16;"SARS2";NA;NA;NA;541;541;523
0;"BR";2023;16;"VSR";NA;NA;NA;1154;1154;1114
0;"BR";2023;16;"FLU_A";NA;NA;NA;277;277;292
0;"BR";2023;16;"FLU_B";NA;NA;NA;158;158;153
0;"BR";2023;16;"RINO";NA;NA;NA;138;138;138
0;"BR";2023;16;"METAP";NA;NA;NA;52;52;46
0;"BR";2023;17;"SARS2";NA;NA;NA;449;449;493
0;"BR";2023;17;"VSR";NA;NA;NA;993;993;1114
0;"BR";2023;17;"FLU_A";NA;NA;NA;323;323;330
0;"BR";2023;17;"FLU_B";NA;NA;NA;128;128;148
0;"BR";2023;17;"RINO";NA;NA;NA;147;147;148
0;"BR";2023;17;"METAP";NA;NA;NA;37;37;48
0;"BR";2023;18;"SARS2";NA;NA;NA;490;490;476
0;"BR";2023;18;"VSR";NA;NA;NA;1196;1196;1101
0;"BR";2023;18;"FLU_A";NA;NA;NA;391;391;374
0;"BR";2023;18;"FLU_B";NA;NA;NA;157;157;144
0;"BR";2023;18;"RINO";NA;NA;NA;158;158;156
0;"BR";2023;18;"METAP";NA;NA;NA;56;56;50
0;"BR";2023;19;"SARS2";NA;NA;NA;489;489;511
0;"BR";2023;19;"VSR";NA;NA;NA;1115;1115;1125
0;"BR";2023;19;"FLU_A";NA;NA;NA;408;408;409
0;"BR";2023;19;"FLU_B";NA;NA;NA;147;147;149
